StopName,StopUID,Direction,RouteName,StopSequence,2020-6-22_0700,2020-6-22_0705,2020-6-22_0710,2020-6-22_0715,2020-6-22_0720,2020-6-22_0725,2020-6-22_0730,2020-6-22_0735,2020-6-22_0740,2020-6-22_0745,2020-6-22_0750,2020-6-22_0755,2020-6-22_0800,2020-6-22_0805,2020-6-22_0810,2020-6-22_0815,2020-6-22_0820,2020-6-22_0825,2020-6-22_0830,2020-6-22_0835,2020-6-22_0840,2020-6-22_0845,2020-6-22_0850,2020-6-22_0855,mean
中正環河路口,TPE38942,1,672,33,,,,,,,,,,,,,,,,,,,,,,,,,
捷運秀朗橋站,TPE38936,1,672,32,220.0,,284.0,284.0,284.0,284.0,284.0,284.0,,,,284.0,284.0,302.0,302.0,302.0,302.0,34.0,,302.0,302.0,302.0,302.0,,274.55555555555554
景平路景德街口,TPE38934,1,672,31,83.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,83.0,83.0,83.0,51.0,51.0,51.0,,,103.0,103.0,103.0,103.0,103.0,103.0,93.0909090909091
捷運景平站,TPE38933,1,672,30,73.0,83.0,83.0,83.0,83.0,83.0,83.0,,158.0,,167.0,167.0,167.0,128.0,128.0,128.0,128.0,136.0,136.0,136.0,136.0,136.0,24.0,135.0,117.31818181818181
南勢角(景平路),TPE142282,1,672,29,52.0,69.0,69.0,69.0,69.0,69.0,69.0,63.0,16.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,57.0,112.0,112.0,112.0,112.0,112.0,,64.0,71.26086956521739
智光商職,TPE38930,1,672,28,,80.0,80.0,80.0,80.0,80.0,80.0,73.0,120.0,62.0,62.0,62.0,62.0,83.0,83.0,,,83.0,83.0,83.0,83.0,83.0,55.0,55.0,76.76190476190476
中興二村,TPE38929,1,672,27,53.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,53.0,53.0,53.0,53.0,48.0,48.0,48.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.708333333333336
中興新村,TPE38928,1,672,26,42.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,49.0,49.0,49.0,49.0,50.0,50.0,65.0,62.0,62.0,62.0,62.0,62.0,62.0,50.0,50.0,52.34782608695652
得和路,TPE38927,1,672,25,108.0,118.0,118.0,118.0,118.0,118.0,,136.0,144.0,144.0,144.0,144.0,144.0,117.0,,,129.0,129.0,129.0,129.0,129.0,,117.0,117.0,127.5
秀朗國小,TPE38926,1,672,24,50.0,31.0,31.0,31.0,31.0,31.0,36.0,36.0,33.0,33.0,33.0,33.0,33.0,35.0,53.0,53.0,38.0,38.0,38.0,38.0,38.0,36.0,36.0,36.0,36.708333333333336
永元路,TPE38925,1,672,23,74.0,151.0,151.0,151.0,151.0,,108.0,108.0,108.0,108.0,108.0,108.0,108.0,116.0,146.0,163.0,163.0,163.0,163.0,163.0,163.0,96.0,96.0,96.0,128.7826086956522
福和橋(林森路),TPE38924,1,672,22,77.0,103.0,103.0,103.0,103.0,103.0,112.0,,114.0,114.0,114.0,114.0,114.0,,,128.0,128.0,128.0,128.0,128.0,128.0,102.0,102.0,102.0,111.80952380952381
公館,TPE38923,1,672,21,215.0,270.0,270.0,270.0,,270.0,,265.0,265.0,265.0,265.0,265.0,100.0,,392.0,404.0,404.0,404.0,404.0,404.0,13.0,292.0,292.0,,286.45
臺灣科技大學,TPE38922,1,672,20,56.0,70.0,70.0,70.0,70.0,70.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,101.0,101.0,101.0,101.0,101.0,101.0,24.0,101.0,95.0,95.0,92.0,86.25
臺大癌醫(基隆路),TPE38921,1,672,19,32.0,34.0,34.0,34.0,35.0,35.0,42.0,42.0,42.0,42.0,42.0,42.0,34.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,38.0,38.5
基隆長興街口,TPE38920,1,672,18,46.0,28.0,28.0,28.0,38.0,38.0,32.0,32.0,32.0,32.0,32.0,32.0,38.0,37.0,37.0,37.0,37.0,37.0,37.0,,,42.0,42.0,42.0,35.63636363636363
和平高中,TPE38919,1,672,17,104.0,138.0,138.0,,161.0,,161.0,161.0,161.0,161.0,161.0,110.0,,213.0,213.0,213.0,213.0,213.0,,215.0,215.0,215.0,,211.0,177.73684210526315
捷運六張犁站(基隆路),TPE38918,1,672,16,75.0,166.0,,167.0,167.0,166.0,166.0,166.0,166.0,166.0,166.0,,166.0,207.0,207.0,207.0,207.0,12.0,206.0,202.0,202.0,,203.0,203.0,171.0952380952381
喬治商職,TPE38917,1,672,15,78.0,86.0,86.0,86.0,86.0,99.0,99.0,99.0,99.0,99.0,99.0,86.0,86.0,82.0,82.0,82.0,82.0,,82.0,82.0,82.0,87.0,87.0,87.0,87.95652173913044
三興國小(臨江街觀光夜市),TPE38916,1,672,14,63.0,49.0,39.0,39.0,39.0,35.0,35.0,35.0,35.0,35.0,35.0,42.0,42.0,82.0,82.0,82.0,82.0,61.0,61.0,61.0,61.0,82.0,82.0,82.0,55.875
光復南路口,TPE38915,1,672,13,71.0,64.0,66.0,66.0,,64.0,64.0,64.0,64.0,64.0,,58.0,58.0,70.0,70.0,70.0,,73.0,73.0,73.0,,73.0,73.0,73.0,67.55
三張犁,TPE38914,1,672,12,95.0,,154.0,154.0,116.0,116.0,116.0,116.0,116.0,116.0,129.0,129.0,129.0,165.0,165.0,165.0,,164.0,164.0,164.0,168.0,168.0,168.0,168.0,142.95454545454547
市民住宅,TPE38913,1,672,11,51.0,40.0,40.0,40.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,66.0,66.0,66.0,55.0,55.0,55.0,55.0,49.0,49.0,49.0,49.0,53.333333333333336
國父紀念館,TPE38912,1,672,10,33.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,70.0,70.0,70.0,159.0,159.0,,151.0,151.0,151.0,,154.0,154.0,154.0,,101.8
捷運國父紀念館站(光復),TPE38911,1,672,9,109.0,144.0,144.0,,144.0,144.0,144.0,144.0,144.0,,144.0,144.0,144.0,157.0,157.0,,157.0,157.0,157.0,157.0,157.0,157.0,157.0,156.0,148.47619047619048
臺北市區監理所(光復),TPE38910,1,672,8,,131.0,131.0,73.0,73.0,73.0,73.0,73.0,,65.0,65.0,65.0,65.0,74.0,,77.0,77.0,77.0,,76.0,76.0,76.0,,74.0,78.63157894736842
博仁醫院,TPE38909,1,672,7,69.0,88.0,,153.0,153.0,153.0,153.0,153.0,152.0,147.0,147.0,147.0,147.0,141.0,144.0,142.0,142.0,142.0,138.0,138.0,138.0,138.0,141.0,141.0,139.43478260869566
南京新村,TPE38908,1,672,6,62.0,114.0,110.0,110.0,110.0,110.0,110.0,110.0,,110.0,110.0,110.0,110.0,126.0,,110.0,110.0,,126.0,126.0,126.0,126.0,113.0,113.0,112.0
三軍總醫院松山分院,TPE38907,1,672,5,87.0,135.0,83.0,83.0,83.0,83.0,83.0,,83.0,83.0,83.0,83.0,83.0,,120.0,100.0,100.0,100.0,100.0,100.0,100.0,,115.0,115.0,95.33333333333333
長壽公園,TPE38906,1,672,4,30.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,40.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,26.708333333333332
健康新城,TPE38905,1,672,3,44.0,44.0,33.0,33.0,33.0,33.0,33.0,44.0,47.0,47.0,47.0,47.0,47.0,54.0,48.0,48.0,48.0,48.0,48.0,48.0,,57.0,57.0,57.0,45.43478260869565
三民健康路口(西松高中),TPE38904,1,672,2,65.0,,77.0,77.0,77.0,77.0,77.0,,77.0,77.0,77.0,77.0,,,87.0,87.0,87.0,116.0,116.0,116.0,116.0,102.0,102.0,,88.78947368421052
三民路,TPE38903,1,672,1,45.0,58.0,67.0,67.0,67.0,67.0,,67.0,67.0,67.0,67.0,67.0,67.0,50.0,46.0,46.0,,45.0,45.0,45.0,66.0,66.0,66.0,64.0,59.63636363636363
